Order,TRACKING,CHSVIA,State
71733681,92419902712015573014461319,MBPM,CO
71734246,92419902712015573014461463,MBPM,VT
71731273,92419902712015573014462057,MBPM,CA
71724974,92419902712015573014462088,MBPM,MO
71724001,92419902712015573014462101,MBPM,MO
71723107,92419902712015573014463108,MBPM,WI
71728286,92419902712015573014463474,MBPM,OR
71722177,92419902712015573014465256,MBPM,NC
71724656,92419902712015573014465300,MBPM,CT
71723905,92419902712015573014465454,MBPM,OH
71730602,92419902712015573014466390,MBPM,CO
71728665,92419902712015573014466475,MBPM,ID
71734554,92419902712015573014467243,MBPM,NY
71728204,92419902712015573014467625,MBPM,PA
71733275,92419902712015573014467984,MBPM,TX
71736053,92748902712015573014471012,MPSL,MS
71730379,92419902712015573014471660,MBPM,TX
71731368,92419902712015573014471981,MBPM,FL
71730698,92419902712015573014472339,MBPM,VA
71736706,92419902712015573014472971,MBPM,NJ
71735151,92419902712015573014473671,MBPM,MI
71735353,9205590295388102774974,UCPC,AK
71725347,92419902712015573014474760,MBPM,NY
71722971,92419902712015573014476467,MBPM,NY
71736650,92419902712015573014477556,MBPM,FL
71731009,92419902712015573014478096,MBPM,GA
71736164,92419902712015573014479062,MBPM,MD
71729607,92419902712015573014479765,MBPM,NY
71724020,92419902712015573014480228,MBPM,MO
71722368,92419902712015573014481232,MBPM,MN
71726648,92419902712015573014481300,MBPM,MA
71728055,92419902712015573014481591,MBPM,MI
71728037,92419902712015573014481768,MBPM,MO
71725163,92419902712015573014483007,MBPM,CA
71727800,92419902712015573014483267,MBPM,IN
71732830,92419902712015573014484936,MBPM,MO
71727868,92419902712015573014485124,MBPM,TX
71732708,92419902712015573014485322,MBPM,CA
71728622,92419902712015573014486534,MBPM,ND
71732016,92419902712015573014487661,MBPM,DE
71731036,92419902712015573014488293,MBPM,MA
71731512,92419902712015573014488484,MBPM,CA
71728943,92419902712015573014488804,MBPM,CA
71731551,92419902712015573014489665,MBPM,TX
71725516,92419902712015573014489863,MBPM,WA
71725690,92419902712015573014490593,MBPM,PA
71731082,92419902712015573014491859,MBPM,OH
71731899,92419902712015573014492733,MBPM,CA
71731229,92419902712015573014492917,MBPM,MA
71731016,92419902712015573014493037,MBPM,CA
71732898,92419902712015573014493716,MBPM,TX
71731886,92419902712015573014493747,MBPM,CA
71734965,92419902712015573014494195,MBPM,MN
71731931,92419902712015573014494522,MBPM,KS
71731597,92419902712015573014494805,MBPM,OK
71732764,92419902712015573014497028,MBPM,MA
71731261,92419902712015573014498087,MBPM,OH
71727319,92419902712015573014498193,MBPM,KS
71732416,92419902712015573014498599,MBPM,CA
71733817,92419902712015573014499176,MBPM,TX
71727166,92419902712015573014499282,MBPM,MD
71730821,92419902712015573014500711,MBPM,KS
71733898,92419902712015573014500841,MBPM,CA
71722810,92419902712015573014501398,MBPM,PA
71721597,92419902712015573014502449,MBPM,RI
71721824,92419902712015573014502579,MBPM,KY
71726174,92419902712015573014504108,MBPM,KS
71733271,92419902712015573014504818,MBPM,KS
71722320,92419902712015573014505525,MBPM,NY
71728955,92419902712015573014507000,MBPM,MI
71736425,92419902712015573014507024,MBPM,WA
71735839,92419902712015573014507574,MBPM,VA
